int;string;money
-122360588;abc qwertyqwertyqwerty xxxxxxxxxx;814517600.85
450346043;abc qwertyqwertyqwerty xxxxxxxxxx;444148431.39
-60739792;abc qwertyqwertyqwerty xxxxxxxxxx;32817356.33
-280445962;abc qwertyqwertyqwerty xxxxxxxxxx;744830626.49
194906862;abc qwertyqwertyqwerty xxxxxxxxxx;773770318.76
-41614524;abc qwertyqwertyqwerty xxxxxxxxxx;39051547.13
453507029;abc qwertyqwertyqwerty xxxxxxxxxx;692674696.80
-482808988;abc qwertyqwertyqwerty xxxxxxxxxx;530834904.95
-258373091;abc qwertyqwertyqwerty xxxxxxxxxx;874264393.71
481686844;abc qwertyqwertyqwerty xxxxxxxxxx;692965089.49
-1116422;abc qwertyqwertyqwerty xxxxxxxxxx;687158566.70
-331653920;abc qwertyqwertyqwerty xxxxxxxxxx;580319938.92
-10872769;abc qwertyqwertyqwerty xxxxxxxxxx;93551824.24
476240209;abc qwertyqwertyqwerty xxxxxxxxxx;150600334.14
-220203650;abc qwertyqwertyqwerty xxxxxxxxxx;830868526.69
75008315;abc qwertyqwertyqwerty xxxxxxxxxx;869176370.82
140388480;abc qwertyqwertyqwerty xxxxxxxxxx;621560666.06
-246139150;abc qwertyqwertyqwerty xxxxxxxxxx;150559470.66
332430771;abc qwertyqwertyqwerty xxxxxxxxxx;742297573.70
-21438255;abc qwertyqwertyqwerty xxxxxxxxxx;113684868.63
191442546;abc qwertyqwertyqwerty xxxxxxxxxx;859480732.52
-190859571;abc qwertyqwertyqwerty xxxxxxxxxx;461293525.86
-90579332;abc qwertyqwertyqwerty xxxxxxxxxx;100169932.01
489036858;abc qwertyqwertyqwerty xxxxxxxxxx;245539152.03
-68377471;abc qwertyqwertyqwerty xxxxxxxxxx;338064314.76
-343002570;abc qwertyqwertyqwerty xxxxxxxxxx;733636783.83
-487164345;abc qwertyqwertyqwerty xxxxxxxxxx;645239466.35
-384563537;abc qwertyqwertyqwerty xxxxxxxxxx;260796678.85
-399689610;abc qwertyqwertyqwerty xxxxxxxxxx;936762748.30
84932252;abc qwertyqwertyqwerty xxxxxxxxxx;134314949.78
255814855;abc qwertyqwertyqwerty xxxxxxxxxx;616442150.90
-284040616;abc qwertyqwertyqwerty xxxxxxxxxx;350834834.73
-182877286;abc qwertyqwertyqwerty xxxxxxxxxx;30351166.96
-421652848;abc qwertyqwertyqwerty xxxxxxxxxx;265054498.23
-393352665;abc qwertyqwertyqwerty xxxxxxxxxx;409104035.41
-491971478;abc qwertyqwertyqwerty xxxxxxxxxx;621545951.13
172025727;abc qwertyqwertyqwerty xxxxxxxxxx;117204590.15
-498740693;abc qwertyqwertyqwerty xxxxxxxxxx;364184296.14
430457805;abc qwertyqwertyqwerty xxxxxxxxxx;616163466.51
-259190865;abc qwertyqwertyqwerty xxxxxxxxxx;50908719.43
-337530362;abc qwertyqwertyqwerty xxxxxxxxxx;472392344.61
-7735337;abc qwertyqwertyqwerty xxxxxxxxxx;855510514.78
-461305293;abc qwertyqwertyqwerty xxxxxxxxxx;676926313.27
357190172;abc qwertyqwertyqwerty xxxxxxxxxx;322197854.51
365107716;abc qwertyqwertyqwerty xxxxxxxxxx;952197698.05
104859402;abc qwertyqwertyqwerty xxxxxxxxxx;433547402.49
-389612245;abc qwertyqwertyqwerty xxxxxxxxxx;234579215.57
168968134;abc qwertyqwertyqwerty xxxxxxxxxx;232464873.85
129689956;abc qwertyqwertyqwerty xxxxxxxxxx;908902544.74
-23055571;abc qwertyqwertyqwerty xxxxxxxxxx;228493438.47
-377029024;abc qwertyqwertyqwerty xxxxxxxxxx;155808416.95
-425919367;abc qwertyqwertyqwerty xxxxxxxxxx;746435194.47
306342645;abc qwertyqwertyqwerty xxxxxxxxxx;29549275.37
-334679017;abc qwertyqwertyqwerty xxxxxxxxxx;924582189.42
-123229618;abc qwertyqwertyqwerty xxxxxxxxxx;101112730.54
30916644;abc qwertyqwertyqwerty xxxxxxxxxx;58324707.63
-383464881;abc qwertyqwertyqwerty xxxxxxxxxx;167735502.01
229129957;abc qwertyqwertyqwerty xxxxxxxxxx;717011625.45
341026618;abc qwertyqwertyqwerty xxxxxxxxxx;509654932.13
53623029;abc qwertyqwertyqwerty xxxxxxxxxx;431518745.51
-237733330;abc qwertyqwertyqwerty xxxxxxxxxx;502754990.14
468948549;abc qwertyqwertyqwerty xxxxxxxxxx;15835087.69
-382324880;abc qwertyqwertyqwerty xxxxxxxxxx;783622996.95
-274650136;abc qwertyqwertyqwerty xxxxxxxxxx;852139543.60
-284822467;abc qwertyqwertyqwerty xxxxxxxxxx;444131986.97
-262758157;abc qwertyqwertyqwerty xxxxxxxxxx;330520566.36
-178675934;abc qwertyqwertyqwerty xxxxxxxxxx;812448073.10
251509211;abc qwertyqwertyqwerty xxxxxxxxxx;896499305.64
265053969;abc qwertyqwertyqwerty xxxxxxxxxx;853634257.40
159523136;abc qwertyqwertyqwerty xxxxxxxxxx;591780081.01
419239040;abc qwertyqwertyqwerty xxxxxxxxxx;605577732.50
-165110402;abc qwertyqwertyqwerty xxxxxxxxxx;36979115.15
-45814556;abc qwertyqwertyqwerty xxxxxxxxxx;561494229.40
135223207;abc qwertyqwertyqwerty xxxxxxxxxx;370777180.83
209523138;abc qwertyqwertyqwerty xxxxxxxxxx;283201250.35
-338982599;abc qwertyqwertyqwerty xxxxxxxxxx;432615179.63
-225655325;abc qwertyqwertyqwerty xxxxxxxxxx;607680115.54
-448012323;abc qwertyqwertyqwerty xxxxxxxxxx;221313625.03
458627330;abc qwertyqwertyqwerty xxxxxxxxxx;692549704.04
-159455189;abc qwertyqwertyqwerty xxxxxxxxxx;349391003.77
214091371;abc qwertyqwertyqwerty xxxxxxxxxx;958919979.60
209514125;abc qwertyqwertyqwerty xxxxxxxxxx;963413641.60
73395031;abc qwertyqwertyqwerty xxxxxxxxxx;690418337.83
33089716;abc qwertyqwertyqwerty xxxxxxxxxx;522369172.55
18033965;abc qwertyqwertyqwerty xxxxxxxxxx;884390862.57
496832593;abc qwertyqwertyqwerty xxxxxxxxxx;401235250.20
274488888;abc qwertyqwertyqwerty xxxxxxxxxx;370137601.25
282108417;abc qwertyqwertyqwerty xxxxxxxxxx;393552431.76
-302676366;abc qwertyqwertyqwerty xxxxxxxxxx;810522555.28
477498230;abc qwertyqwertyqwerty xxxxxxxxxx;365315248.72
-242834929;abc qwertyqwertyqwerty xxxxxxxxxx;536573312.41
443216627;abc qwertyqwertyqwerty xxxxxxxxxx;453228168.65
-245722919;abc qwertyqwertyqwerty xxxxxxxxxx;427957764.79
291081878;abc qwertyqwertyqwerty xxxxxxxxxx;677554809.62
-377649040;abc qwertyqwertyqwerty xxxxxxxxxx;738726719.42
62757288;abc qwertyqwertyqwerty xxxxxxxxxx;610403626.32
255904100;abc qwertyqwertyqwerty xxxxxxxxxx;201222484.61
-73325366;abc qwertyqwertyqwerty xxxxxxxxxx;335602871.27
372200025;abc qwertyqwertyqwerty xxxxxxxxxx;845706468.03
121504571;abc qwertyqwertyqwerty xxxxxxxxxx;534283986.14
366966505;abc qwertyqwertyqwerty xxxxxxxxxx;668706682.54
-325604773;abc qwertyqwertyqwerty xxxxxxxxxx;260533230.90
-450934241;abc qwertyqwertyqwerty xxxxxxxxxx;853757660.52
6294816;abc qwertyqwertyqwerty xxxxxxxxxx;258341114.52
436456816;abc qwertyqwertyqwerty xxxxxxxxxx;796060952.63
-357571260;abc qwertyqwertyqwerty xxxxxxxxxx;763604672.48
317617692;abc qwertyqwertyqwerty xxxxxxxxxx;20468531.25
-306183196;abc qwertyqwertyqwerty xxxxxxxxxx;726231706.11
-470348869;abc qwertyqwertyqwerty xxxxxxxxxx;517905021.06
-25536163;abc qwertyqwertyqwerty xxxxxxxxxx;823072125.76
198396175;abc qwertyqwertyqwerty xxxxxxxxxx;128075622.05
94973590;abc qwertyqwertyqwerty xxxxxxxxxx;46961743.92
52419282;abc qwertyqwertyqwerty xxxxxxxxxx;780587242.82
465120808;abc qwertyqwertyqwerty xxxxxxxxxx;744632471.35
-398301369;abc qwertyqwertyqwerty xxxxxxxxxx;934633544.11
-460048789;abc qwertyqwertyqwerty xxxxxxxxxx;90018692.10
-314003060;abc qwertyqwertyqwerty xxxxxxxxxx;858683369.09
148481204;abc qwertyqwertyqwerty xxxxxxxxxx;882935812.22
-210510420;abc qwertyqwertyqwerty xxxxxxxxxx;476895097.60
-87253251;abc qwertyqwertyqwerty xxxxxxxxxx;337630396.89
199143215;abc qwertyqwertyqwerty xxxxxxxxxx;988356822.65
271397925;abc qwertyqwertyqwerty xxxxxxxxxx;187435404.28
58573578;abc qwertyqwertyqwerty xxxxxxxxxx;756174306.57
33528059;abc qwertyqwertyqwerty xxxxxxxxxx;631914952.69
-25624380;abc qwertyqwertyqwerty xxxxxxxxxx;147208858.93
141490632;abc qwertyqwertyqwerty xxxxxxxxxx;516132786.55
-124788758;abc qwertyqwertyqwerty xxxxxxxxxx;846308989.64
-174970070;abc qwertyqwertyqwerty xxxxxxxxxx;394155579.56
491250618;abc qwertyqwertyqwerty xxxxxxxxxx;189625110.16
412568289;abc qwertyqwertyqwerty xxxxxxxxxx;708755102.53
-43755952;abc qwertyqwertyqwerty xxxxxxxxxx;733688852.65
262618925;abc qwertyqwertyqwerty xxxxxxxxxx;738318136.80
487204483;abc qwertyqwertyqwerty xxxxxxxxxx;551995875.12
-420354569;abc qwertyqwertyqwerty xxxxxxxxxx;346886605.16
186401189;abc qwertyqwertyqwerty xxxxxxxxxx;809313944.40
-322245926;abc qwertyqwertyqwerty xxxxxxxxxx;668205017.77
-97286501;abc qwertyqwertyqwerty xxxxxxxxxx;595718403.42
403145513;abc qwertyqwertyqwerty xxxxxxxxxx;760482995.21
108010919;abc qwertyqwertyqwerty xxxxxxxxxx;71646401.81
350898995;abc qwertyqwertyqwerty xxxxxxxxxx;57117632.06
-159600010;abc qwertyqwertyqwerty xxxxxxxxxx;815199866.09
-225294437;abc qwertyqwertyqwerty xxxxxxxxxx;408114600.89
-294146784;abc qwertyqwertyqwerty xxxxxxxxxx;638460842.28
-477574890;abc qwertyqwertyqwerty xxxxxxxxxx;874583084.60
-37795243;abc qwertyqwertyqwerty xxxxxxxxxx;285530074.92
129077877;abc qwertyqwertyqwerty xxxxxxxxxx;297362082.50
-112703844;abc qwertyqwertyqwerty xxxxxxxxxx;902581748.32
-56323744;abc qwertyqwertyqwerty xxxxxxxxxx;700615734.17
-225021680;abc qwertyqwertyqwerty xxxxxxxxxx;330437971.38
-45592346;abc qwertyqwertyqwerty xxxxxxxxxx;636731362.70
463272010;abc qwertyqwertyqwerty xxxxxxxxxx;736594548.61
-308512675;abc qwertyqwertyqwerty xxxxxxxxxx;100376925.66
-384168287;abc qwertyqwertyqwerty xxxxxxxxxx;96391555.88
353455791;abc qwertyqwertyqwerty xxxxxxxxxx;784969241.04
271058505;abc qwertyqwertyqwerty xxxxxxxxxx;934459675.25
-186682616;abc qwertyqwertyqwerty xxxxxxxxxx;779764122.95
244456029;abc qwertyqwertyqwerty xxxxxxxxxx;21405093.96
-106854579;abc qwertyqwertyqwerty xxxxxxxxxx;583833493.52
308381324;abc qwertyqwertyqwerty xxxxxxxxxx;308078483.62
390294973;abc qwertyqwertyqwerty xxxxxxxxxx;668639920.81
224359736;abc qwertyqwertyqwerty xxxxxxxxxx;912193168.19
187906507;abc qwertyqwertyqwerty xxxxxxxxxx;919576838.70
-377743372;abc qwertyqwertyqwerty xxxxxxxxxx;518705758.96
-159561794;abc qwertyqwertyqwerty xxxxxxxxxx;145287915.93
236636189;abc qwertyqwertyqwerty xxxxxxxxxx;563914687.67
-152921661;abc qwertyqwertyqwerty xxxxxxxxxx;850356824.64
288327718;abc qwertyqwertyqwerty xxxxxxxxxx;741366919.96
-399960692;abc qwertyqwertyqwerty xxxxxxxxxx;468944378.99
-92753559;abc qwertyqwertyqwerty xxxxxxxxxx;580775296.39
227045380;abc qwertyqwertyqwerty xxxxxxxxxx;621865319.29
404713158;abc qwertyqwertyqwerty xxxxxxxxxx;839848008.17
244665924;abc qwertyqwertyqwerty xxxxxxxxxx;578431942.87
-452106854;abc qwertyqwertyqwerty xxxxxxxxxx;898716758.15
-494846375;abc qwertyqwertyqwerty xxxxxxxxxx;551986219.63
138527698;abc qwertyqwertyqwerty xxxxxxxxxx;467665358.41
468687429;abc qwertyqwertyqwerty xxxxxxxxxx;376235599.02
-4608076;abc qwertyqwertyqwerty xxxxxxxxxx;162624770.18
-128109903;abc qwertyqwertyqwerty xxxxxxxxxx;535984562.80
154733367;abc qwertyqwertyqwerty xxxxxxxxxx;711621908.17
-449627349;abc qwertyqwertyqwerty xxxxxxxxxx;82587736.96
-109825637;abc qwertyqwertyqwerty xxxxxxxxxx;533503985.88
-181702394;abc qwertyqwertyqwerty xxxxxxxxxx;602452531.54
373243332;abc qwertyqwertyqwerty xxxxxxxxxx;932891720.34
122637940;abc qwertyqwertyqwerty xxxxxxxxxx;265117868.58
422971018;abc qwertyqwertyqwerty xxxxxxxxxx;180312997.62
466233239;abc qwertyqwertyqwerty xxxxxxxxxx;374348512.43
-50353164;abc qwertyqwertyqwerty xxxxxxxxxx;657402568.57
